sample Items	X0	X1		out		list0			list1			list2			list3			list4			list5			list6			list7			list8		
0	61	888	==>	3												61	888															
1	-829	-951	==>	3												-829	-951															
2	233	-798	==>	3												233	-798															
3	-780	-597	==>	3												-780	-597															
4	-139	109	==>	0			-139	109																								
5	-341	244	==>	1						-341	244																					
6	814	494	==>	3												814	494															
7	-935	445	==>	3												-935	445															
8	96	479	==>	1						96	479																					
9	-846	488	==>	3												-846	488															
10	-636	265	==>	2									-636	265																		
11	363	-615	==>	2									363	-615																		
12	-263	-401	==>	1						-263	-401																					
13	-212	-81	==>	0			-212	-81																								
14	711	773	==>	3												711	773															
15	-404	226	==>	1						-404	226																					
16	-835	-118	==>	3												-835	-118															
17	756	-491	==>	3												756	-491															
18	-747	-192	==>	3												-747	-192															
19	354	449	==>	2									354	449																		
20	319	293	==>	1						319	293																					
21	-130	-223	==>	1						-130	-223																					
22	952	-352	==>	3												952	-352															
23	902	828	==>	3												902	828															
24	-257	-693	==>	2									-257	-693																		
25	-877	784	==>	3												-877	784															
26	703	505	==>	3												703	505															
27	188	-249	==>	1						188	-249																					
28	-639	131	==>	2									-639	131																		
29	-65	-878	==>	3												-65	-878															
30	25	-749	==>	2									25	-749																		
31	36	294	==>	1						36	294																					
32	-640	72	==>	2									-640	72																		
33	-569	95	==>	2									-569	95																		
34	773	-85	==>	3												773	-85															
35	-215	811	==>	3												-215	811															
36	-478	-257	==>	2									-478	-257																		
37	651	-728	==>	3												651	-728															
38	93	608	==>	2									93	608																		
39	-269	-571	==>	2									-269	-571																		
40	-835	983	==>	3												-835	983															
41	-611	71	==>	2									-611	71																		
42	49	-210	==>	0			49	-210																								
43	-659	-820	==>	3												-659	-820															
44	588	-592	==>	3												588	-592															
45	672	-846	==>	3												672	-846															
46	700	597	==>	3												700	597															
47	-406	-447	==>	2									-406	-447																		
48	-359	156	==>	1						-359	156																					
49	935	-573	==>	3												935	-573															
50	-429	529	==>	2									-429	529																		
51	-610	966	==>	3												-610	966															
52	661	-922	==>	3												661	-922															
53	346	333	==>	1						346	333																					
54	-301	-385	==>	1						-301	-385																					
55	599	-622	==>	3												599	-622															
56	-915	245	==>	3												-915	245															
57	735	-80	==>	2									735	-80																		
58	100	-214	==>	0			100	-214																								
59	938	512	==>	3												938	512															
60	-483	-666	==>	3												-483	-666															
61	558	965	==>	3												558	965															
62	85	-680	==>	2									85	-680																		
63	85	-108	==>	0			85	-108																								
64	106	-237	==>	1						106	-237																					
65	-551	810	==>	3												-551	810															
66	-948	-376	==>	3												-948	-376															
67	-474	909	==>	3												-474	909															
68	738	-159	==>	3												738	-159															
69	-700	-743	==>	3												-700	-743															
70	-996	-128	==>	3												-996	-128															
71	-264	536	==>	2									-264	536																		
72	113	-821	==>	3												113	-821															
73	304	-191	==>	1						304	-191																					
74	972	341	==>	3												972	341															
75	144	892	==>	3												144	892															
76	-300	307	==>	1						-300	307																					
77	941	628	==>	3												941	628															
78	158	-325	==>	1						158	-325																					
79	-633	-423	==>	3												-633	-423															
80	232	-986	==>	3												232	-986															
81	722	325	==>	3												722	325															
82	471	-724	==>	3												471	-724															
83	944	-638	==>	3												944	-638															
84	995	-280	==>	3												995	-280															
85	725	-109	==>	2									725	-109																		
86	733	-527	==>	3												733	-527															
87	197	-71	==>	0			197	-71																								
88	-195	-844	==>	3												-195	-844															
89	888	769	==>	3												888	769															
90	-155	976	==>	3												-155	976															
91	-270	623	==>	2									-270	623																		
92	68	872	==>	3												68	872															
93	-746	-661	==>	3												-746	-661															
94	317	-763	==>	3												317	-763															
95	127	-41	==>	0			127	-41																								
96	519	172	==>	2									519	172																		
97	-623	-476	==>	3												-623	-476															
98	72	877	==>	3												72	877															
99	442	-653	==>	3												442	-653															
100	129	-319	==>	1						129	-319																					
101	626	-793	==>	3												626	-793															
102	603	-525	==>	3												603	-525															
103	-129	-337	==>	1						-129	-337																					
104	822	-666	==>	3												822	-666															
105	-281	-260	==>	1						-281	-260																					
106	882	-608	==>	3												882	-608															
107	84	-121	==>	0			84	-121																								
108	222	-718	==>	3												222	-718															
109	500	-588	==>	3												500	-588															
110	-978	115	==>	3												-978	115															
111	-548	-882	==>	3												-548	-882															
112	922	430	==>	3												922	430															
113	-750	731	==>	3												-750	731															
114	-410	-423	==>	2									-410	-423																		
115	428	264	==>	2									428	264																		
116	215	-735	==>	3												215	-735															
117	-558	-348	==>	2									-558	-348																		
118	-260	-179	==>	1						-260	-179																					
119	686	-993	==>	3												686	-993															
120	-799	-633	==>	3												-799	-633															
121	-756	781	==>	3												-756	781															
122	883	528	==>	3												883	528															
123	-361	422	==>	2									-361	422																		
124	357	715	==>	3												357	715															
125	-661	288	==>	2									-661	288																		
126	-282	520	==>	2									-282	520																		
127	898	-922	==>	3												898	-922															
128	-8	-880	==>	3												-8	-880															
129	-597	-255	==>	2									-597	-255																		
130	883	618	==>	3												883	618															
131	-291	597	==>	2									-291	597																		
132	353	-279	==>	1						353	-279																					
133	-384	-340	==>	2									-384	-340																		
134	-446	-576	==>	2									-446	-576																		
135	186	312	==>	1						186	312																					
136	-782	-595	==>	3												-782	-595															
137	-865	292	==>	3												-865	292															
138	-722	-843	==>	3												-722	-843															
139	436	-113	==>	1						436	-113																					
